,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
0,m3krj5dy,1,https://www.speedrun.com/sm64/run/m3krj5dy,2023-10-27T05:02:28Z,376.6,376.6,jn32931x,Suigi,Canada,N64,Yes
1,ywjg8w9z,2,https://www.speedrun.com/sm64/run/ywjg8w9z,2022-02-12T20:34:19Z,387.38,387.38,7j40gpw8,KANNO,,N64,Yes
2,ydjw8wvy,3,https://www.speedrun.com/sm64/run/ydjw8wvy,2023-06-19T17:17:00Z,388.13,388.13,qj2rklpx,cjrokokomero,Italy,N64,Yes
3,y2ggv4jz,4,https://www.speedrun.com/sm64/run/y2ggv4jz,2023-07-11T15:17:29Z,390.65,390.65,8wkzer38,Parsee02,Japan,N64,Yes
4,mr988ogm,5,https://www.speedrun.com/sm64/run/mr988ogm,2020-09-19T08:25:25Z,392.15,392.15,kj92gmv8,Dowsky,United States,N64,Yes
5,yoo7n61y,6,https://www.speedrun.com/sm64/run/yoo7n61y,2023-10-26T07:02:59Z,393.0,393.0,xk3nmqk8,DuckTapeDuck,,EMU,Yes
6,y6qdo8pz,7,https://www.speedrun.com/sm64/run/y6qdo8pz,2023-10-26T00:53:17Z,393.1,393.1,8vkrw22j,Tag609,United States,N64,Yes
7,y2jpjn9z,8,https://www.speedrun.com/sm64/run/y2jpjn9z,2023-02-01T06:47:01Z,393.25,393.25,18q652oj,Poke,United States,N64,Yes
8,mrlp2ndm,9,https://www.speedrun.com/sm64/run/mrlp2ndm,2023-08-23T02:15:03Z,403.0,403.0,xkmnnmmj,ZUMMI,Italy,EMU,Yes
9,8yv24rem,10,https://www.speedrun.com/sm64/run/8yv24rem,2015-08-07T21:20:12Z,404.23,404.23,,,,N64,Yes
10,dy4jg0ny,11,https://www.speedrun.com/sm64/run/dy4jg0ny,2016-10-25T19:03:39Z,404.7,404.7,o866w58z,Xiah,Japan,N64,Yes
11,mrr912dm,12,https://www.speedrun.com/sm64/run/mrr912dm,2022-08-17T05:40:11Z,405.67,405.67,68w4ro4x,wara,Japan,N64,Yes
12,z0lv9p8z,13,https://www.speedrun.com/sm64/run/z0lv9p8z,2022-11-21T15:48:50Z,406.1,406.1,18qowewj,Majoog,South Korea,N64,Yes
13,m7g1k9em,14,https://www.speedrun.com/sm64/run/m7g1k9em,2020-03-31T00:27:14Z,408.0,408.0,dx35yzej,TriforceTK,United States,EMU,Yes
14,y6r7wn0y,14,https://www.speedrun.com/sm64/run/y6r7wn0y,2020-09-17T07:21:59Z,408.0,408.0,1xy9p1vj,taihou,Japan,EMU,No
